video_id,face_present,num_faces,face_size_ratios,dominant_emotions,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness,white_balance_deviation,exposure,title,published_at,views,likes,comments,duration
NkTculIMNJM,1,1,[0.06380208333333333],neutral,480,360,172800,1.3333333333333333,91.54081597222222,65.43791661116417,57.53667824074074,28.018153935185182,1.5842902247660873,439.96013454777386,7.080911296580811,91.54081597222222,Nikhil Kamath Shares His Health Routine #shorts,2024-12-09T15:53:13Z,1209265,46061,367,PT35S
O1uhQLEKYq4,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,41.52523726851852,32.89891631180317,115.87363425925926,55.30102430555556,2.9280192821893856,264.51724536983454,2.9433475193966525,41.52523726851852,First Business Experience | Nikhil Kamath x Kumar Birla #shorts,2024-12-27T15:48:54Z,446401,17728,48,PT35S
J7Cww5ERnVg,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,78.09003472222223,51.35795537181658,77.51967013888888,40.56785300925926,1.885516594536507,438.01364744724026,5.202710872598471,78.09003472222223,First Meeting | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-12T11:27:14Z,704811,36445,108,PT25S
VWxdF1abztE,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,47.22880787037037,48.3107162067525,67.41248842592593,14.372019675925928,2.708572782824746,326.90824072453177,6.638933321118793,47.22880787037037,Why You Don’t Need MIT Or Harvard To Achieve Big In AI - Yann LeCunn #shorts,2024-12-06T16:50:20Z,198364,9373,35,PT57S
GFu1MUf0Nis,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,70.69291087962964,51.78844150500223,82.90906828703703,43.39888310185185,2.028576232106473,354.2821860788269,5.112445473284145,70.69291087962964,Challenging Life | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T08:35:02Z,100216,6009,76,PT22S
5pWy5QX9fcQ,0,0,,sad,480,360,172800,1.3333333333333333,75.80606481481482,56.50792477135101,82.1571238425926,45.60784722222222,1.937147009127044,467.1567137731147,5.2443841823178925,75.80606481481482,Nation First Always | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T09:10:45Z,159520,10292,264,PT43S
wkReenvvggo,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,70.52979166666667,49.31666937808392,64.75144675925925,62.145127314814815,2.038838060148744,553.0113813645352,5.976873358157258,70.52979166666667,Why Indian Brands Use Foreign Models #shorts,2025-01-21T16:18:48Z,40851,1655,25,PT42S
JDJXSfwPBLk,1,1,[0.044305555555555556],sad,480,360,172800,1.3333333333333333,90.01024884259259,73.16847909373017,65.8963888888889,30.533171296296292,1.653748414198934,554.2962365385748,7.956969796320483,90.01024884259259,Namma Yatri Vs Other Apps: What’s Better? #shorts,2024-12-18T15:26:51Z,75009,3877,40,PT38S
9GnL6QGq2Qo,1,1,[0.06319444444444444],neutral,480,360,172800,1.3333333333333333,37.34813078703704,25.27458491224659,121.21674768518518,54.82266203703704,3.100880548029724,252.2393513840329,2.98697285789081,37.34813078703704,Simi Garewal Interview | Nikhil Kamath x Kumar Birla #shorts,2024-12-22T14:22:23Z,325617,10286,30,PT28S
72Q_ZST0G00,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,70.06368634259259,49.537414253915095,91.04327546296297,49.94090856481481,2.083663380661483,1193.6023710642787,2.722529157344448,70.06368634259259,PM Modi's Mottos | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-14T16:12:45Z,79723,5910,63,PT28S
a-yVQ8T3O_0,1,1,[0.044814814814814814],sad,480,360,172800,1.3333333333333333,64.8637962962963,48.85886669919321,90.49960069444444,44.44292824074074,2.182244038808534,471.48758038073873,5.104097661706915,64.8637962962963,2047 INDIA | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-12T07:36:53Z,406636,32220,540,PT41S
_HigxoFMQb0,1,1,[0.03083912037037037],sad,480,360,172800,1.3333333333333333,33.006765046296294,31.59632554781616,60.870694444444446,41.4671412037037,3.2099991123169804,310.3523197551963,1.7333475342567626,33.006765046296294,Staying Calm Always | Nikhil Kamath x Kumar Birla #shorts,2024-12-26T15:23:17Z,1129880,60627,360,PT55S
e6FqC4pWy8I,0,0,,happy,480,360,172800,1.3333333333333333,144.21891782407408,74.41772424697109,114.19125578703704,21.385324074074077,1.305235181140071,4727.793414060357,31.276139020986815,144.21891782407408,Nikhil Kamath x Kumar Birla | People by WTF Ep #5,2024-12-20T06:54:53Z,1328383,24504,1832,PT2H18M31S
OobVVeZD5nk,1,1,[0.044305555555555556],neutral,480,360,172800,1.3333333333333333,101.39804976851852,62.97590425564261,46.10298032407408,23.94344328703704,1.4354456889475813,919.813999725886,6.3347404256065065,101.39804976851852,People Ep 6 | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T09:03:46Z,337383,18895,167,PT45S
bNhqp5ooCAI,1,1,[0.13020833333333334],angry,480,360,172800,1.3333333333333333,78.39831018518518,50.472817546848,93.94749421296297,19.962407407407408,1.9180423270410656,582.7621932870035,10.91049605989008,78.39831018518518,Why EV 2 Wheelers Are Huge In India? #shorts,2024-12-04T14:56:46Z,128375,3955,38,PT36S
dyA5VcuoN00,1,1,[0.044305555555555556],happy,480,360,172800,1.3333333333333333,45.824195601851855,45.671630721630194,128.16569444444443,70.94670138888888,2.90967199527128,718.2103529915432,3.883818524055808,45.824195601851855,Yann LeCun x Nikhil Kamath #shorts,2024-11-29T15:36:43Z,39862,1374,10,PT54S
RMI5xa7UWHs,1,1,[0.09114583333333333],sad,480,360,172800,1.3333333333333333,71.20369791666667,50.74309932558975,87.3697974537037,44.084525462962965,2.055322805596363,333.57508662708847,5.251523603674908,71.20369791666667,Favourite Food | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-12T11:27:49Z,4905299,269807,1785,PT35S
A-wqSvlvUGM,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,62.328663194444445,45.15010150134324,86.86148148148148,33.3203587962963,2.277333972255173,629.6802427821449,7.728315275313369,62.328663194444445,PM Modi’s Work Ethic At 74 | Nikhil Kamath x Ranbir Kapoor #shorts,2024-12-06T16:47:17Z,182927,8091,38,PT45S
VCv19PWTyFI,0,0,,sad,480,360,172800,1.3333333333333333,77.76442708333333,52.434096973822776,61.58490740740741,61.89936342592593,1.905619294700244,692.4051911634824,6.005369343068031,77.76442708333333,How Prestige Group Entered Mumbai - Irfan Razack #shorts,2024-12-10T16:33:42Z,263002,7259,27,PT42S
ldD4Qdqo8J0,1,1,[0.03083912037037037],happy,480,360,172800,1.3333333333333333,74.97739004629629,49.35550733057077,83.99520833333334,41.28767361111111,1.964373023807708,560.0676746886453,6.184671415297149,74.97739004629629,Thick Skin | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-16T15:14:49Z,297067,22453,110,PT51S
eoTFg3YpKdU,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,43.96855324074074,41.06361673175415,86.47382523148148,35.89458333333334,2.7930599254642834,298.0068342085891,4.949618748151652,43.96855324074074,Honest Thoughts On Social Media | Nikhil Kamath x Kumar Birla #shorts,2024-12-24T16:47:44Z,378444,17806,70,PT50S
ySyHxX00Cbg,1,1,[0.06380208333333333],sad,480,360,172800,1.3333333333333333,57.48542824074074,47.75376891958402,63.15105324074074,61.20314236111111,2.3325130017590494,406.8895004385489,2.1037571531026207,57.48542824074074,Is Everything Overpriced? #shorts,2024-12-17T16:22:41Z,221606,8031,47,PT56S
v1diqD43JlQ,1,1,[0.0904224537037037],sad,480,360,172800,1.3333333333333333,39.29436921296296,42.28320413127861,85.05715277777777,18.22579861111111,2.939384905040143,769.0199336604281,4.714202951703559,39.29436921296296,Athletic Greens Vs Blueprint #shorts,2025-02-04T14:11:20Z,705757,24064,113,PT50S
0RySraf-9jc,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,73.64696759259259,45.4936367084697,84.22953703703703,32.30190393518519,2.0221148605909995,477.9029281482756,7.224727565095188,73.64696759259259,India Century | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-15T14:09:22Z,266678,20369,273,PT48S
BeO1BNGpquY,1,1,[0.06380208333333333],happy,480,360,172800,1.3333333333333333,76.3280150462963,61.04350106781609,80.36811921296297,44.31597800925926,1.937031789054306,374.0182349536703,6.014726813992974,76.3280150462963,Isn't It A Tough Way To Live Life? #shorts,2025-02-05T06:36:50Z,413668,13881,284,PT32S
c45cwiucCBQ,1,1,[0.04380208333333333],angry,480,360,172800,1.3333333333333333,77.6822337962963,52.522728878818015,81.71132523148148,40.5558912037037,1.9015466313662923,451.8620128749518,5.982128330214558,77.6822337962963,Welcoming PM Modi | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T13:19:54Z,1722144,113017,433,PT29S
yTMYtcQLLaw,0,0,,sad,480,360,172800,1.3333333333333333,157.6203935185185,82.4859165984225,82.9049537037037,31.09875578703704,1.066668601777592,4165.626017862119,22.734727250519708,157.6203935185185,People with The Prime Minister Shri Narendra Modi x Nikhil Kamath | Episode 6 | By WTF,2025-01-10T08:28:29Z,4367397,174157,14938,PT2H6M21S
3H5bVto4yC8,1,1,[0.044305555555555556],fear,480,360,172800,1.3333333333333333,97.35961805555556,60.88103813501631,47.070902777777775,26.12171875,1.4929138309423526,297.1210828884549,6.05363537616645,97.35961805555556,First Podcast | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-11T12:01:00Z,343987,24609,119,PT38S
0NKTyoqR1-8,1,1,[0.06319444444444444],sad,480,360,172800,1.3333333333333333,53.38912615740741,39.38934654304881,76.38662037037037,39.18941550925926,2.534231299321007,452.5579397885588,7.285341791111181,53.38912615740741,Ritesh Agarwal: How I Started Small And Dreamed Big #shorts,2025-01-24T14:39:53Z,136037,6892,15,PT32S
dgUs4yqt3Kw,0,0,,fear,480,360,172800,1.3333333333333333,74.18710648148148,54.2892656438496,82.97299768518519,38.02423611111111,1.950334435602688,310.28225517283414,5.97987674009375,74.18710648148148,Risk Taking Capacity | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T08:36:41Z,609098,32727,641,PT28S
TDRVdWAzVy8,0,0,,sad,480,360,172800,1.3333333333333333,146.9881712962963,81.82461551194389,95.70860532407409,36.98885416666667,1.1542699617035903,5215.825347145061,10.909964880478162,146.9881712962963,People with The Prime Minister Shri Narendra Modi x Nikhil Kamath | Ep 6 Trailer,2025-01-09T14:07:01Z,1462423,74699,6080,PT2M14S
KbCqo_-RwOw,1,1,[0.06380208333333333],happy,480,360,172800,1.3333333333333333,77.09361111111112,60.3778255477046,91.47241898148148,32.752488425925925,1.983785055941855,459.5873318862727,9.799188810243958,77.09361111111112,Is Building Relationships With Politicians Important? #shorts,2024-12-09T15:53:48Z,197255,7553,119,PT41S
b3hHD7_2bsM,1,1,[0.04380208333333333],happy,480,360,172800,1.3333333333333333,47.00825810185185,35.5130162928366,85.6184375,37.82168402777778,2.696535349696409,368.8771526572145,5.13598982386242,47.00825810185185,Birla Family's Relationship With Mahatma Gandhi #shorts,2025-01-21T16:19:00Z,182224,8551,94,PT38S
n_4IKGh1kO8,1,1,[0.03083912037037037],angry,480,360,172800,1.3333333333333333,33.00245949074074,33.59646596168316,57.07342013888889,57.94159722222222,3.218218369163432,344.9517022633411,0.9604549764992516,33.00245949074074,RPSG Group Director : Passion Vs Money #shorts,2025-02-10T15:28:55Z,23649,702,5,PT34S
P-nwqIeg6MU,1,1,[0.0904224537037037],fear,480,360,172800,1.3333333333333333,58.21864583333333,46.38072232486836,101.92779513888888,32.72313078703704,2.438823594718939,431.2289119533125,8.571018318112865,58.21864583333333,ARKS - Ranbir Kapoor's New Fashion Brand #shorts,2025-02-06T14:39:59Z,137688,4684,16,PT35S
jHEy-1vGYJw,1,1,[0.13020833333333334],sad,480,360,172800,1.3333333333333333,46.66108217592593,38.14793152693801,107.44244212962964,26.78162037037037,2.7617992660862067,525.4406801841872,7.456421989430772,46.66108217592593,How Alcohol Taxes Boost State Earnings #shorts,2024-12-13T16:19:58Z,1721022,57089,663,PT56S
_cERT4yAFdA,0,0,,sad,480,360,172800,1.3333333333333333,62.8377488425926,54.05458179948535,55.316684027777775,54.2760474537037,2.172732234551907,368.9983560908565,1.694933560460559,62.8377488425926,Badshah Seeks Nikhil’s Business Advice #shorts,2024-12-27T15:48:44Z,320912,14007,67,PT39S
IH7KvsGG0r4,1,1,[0.09114583333333333],neutral,480,360,172800,1.3333333333333333,90.82441550925924,50.92170503910837,89.10496527777778,11.74869212962963,1.759147060411539,394.0136629291718,12.811414907522757,90.82441550925924,Will AI Replace Human Jobs? #shorts,2024-12-03T16:31:53Z,57745,2845,17,PT50S
efh4XuIodfg,1,1,[0.06319444444444444],happy,480,360,172800,1.3333333333333333,79.20868055555556,56.34019971690206,87.4077662037037,41.03609375,1.882699471221954,584.0040863413869,7.048387412948987,79.20868055555556,BAPS Hindu Mandir | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T08:40:12Z,3043242,210892,1363,PT21S
6t9Gx29AXPU,0,0,,angry,480,360,172800,1.3333333333333333,63.84086805555555,47.83311474781934,94.2661574074074,45.47734375,2.226384821655591,426.9995904444231,4.972160773843505,63.84086805555555,President Murmu | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-14T17:04:25Z,411995,34993,223,PT59S
lZFQnNo1UAU,1,1,[0.04380208333333333],sad,480,360,172800,1.3333333333333333,44.32509259259259,33.07831405593467,114.93581597222222,52.51444444444444,2.829077459065318,202.51630746514385,4.265251111795374,44.32509259259259,Living Life Without Regrets | Nikhil Kamath x Kumar Birla #shorts,2024-12-20T14:35:44Z,645009,25620,100,PT36S
GBSHcvdbOSE,1,1,[0.13020833333333334],sad,480,360,172800,1.3333333333333333,83.51072916666666,55.02056210884345,69.88619791666666,53.42480324074074,1.8381656990822488,602.3043864253459,8.260712679665039,83.51072916666666,Mumbai Society Redevelopment Explained #shorts,2024-12-11T15:22:30Z,152343,7333,64,PT56S
NGsPKS3Viu4,0,0,,sad,480,360,172800,1.3333333333333333,76.49678819444445,49.82351713518506,85.65040509259259,34.260989583333334,1.9645682681978356,548.382300577498,5.235165526264829,76.49678819444445,Mumbai Vs Bangalore Property Market #shorts,2024-12-13T16:19:45Z,716093,25055,237,PT52S
rN0_nOAKNjw,0,0,,neutral,480,360,172800,1.3333333333333333,97.00313078703704,70.2084894625335,80.57572916666666,72.78133101851851,1.672930749454926,4035.259923653677,10.17472935105468,97.00313078703704,"WTF is Longevity? | Nikhil explores w/ Nithin, Seema, Bryan, Jitendra & Prashanth | Ep #21 Trailer",2025-01-30T05:30:10Z,183947,2772,125,PT2M13S
-ET1D3ythdI,0,0,,sad,480,360,172800,1.3333333333333333,81.19305555555556,60.20193736967686,69.403125,19.266302083333333,1.8311666584115005,473.1275908130788,8.022573429824055,81.19305555555556,How UPI Changed The Game For Street Vendors #shorts,2024-12-17T16:22:57Z,630156,23393,70,PT35S
_Fcqvg_xg94,1,1,[0.04380208333333333],sad,480,360,172800,1.3333333333333333,45.70502893518518,43.00790285858068,91.8465914351852,38.84726851851852,2.77177340043739,600.0328601658949,5.731134813463152,45.70502893518518,Favourite Food | Nikhil Kamath x Kumar Birla #shorts,2024-12-22T14:10:36Z,1479779,47316,226,PT29S
XHWWDPRAsKg,1,1,[0.044305555555555556],happy,480,360,172800,1.3333333333333333,95.6822800925926,61.60972439664964,48.16690393518518,26.385179398148143,1.5185216044485024,265.0522968613026,5.841924775465096,95.6822800925926,Taiwan Visit | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-10T13:20:03Z,967156,63443,845,PT25S
MWXYyJoFK2Q,1,1,[0.03083912037037037],happy,480,360,172800,1.3333333333333333,56.86992476851852,55.69008101122402,54.41509837962963,43.93227430555555,2.390845226551688,739.8423032373917,4.57522579769,56.86992476851852,NYU Professor: Why Open Source Is The Future Of AI #shorts,2024-12-02T15:31:43Z,288281,13613,55,PT58S
ZOLGcORO5Gk,1,1,[0.044305555555555556],fear,480,360,172800,1.3333333333333333,62.89361689814815,48.2473520003875,90.57903356481482,49.44010416666666,2.2301096686738022,400.9257117846244,4.021437590134634,62.89361689814815,India Stack | Shri Narendra Modi x Nikhil Kamath #shorts,2025-01-11T17:10:16Z,428112,29356,281,PT40S
